ResponseId,UserLanguage,consent,age,gender,residence,US_citizen,newspapers,news_sources,platforms_used,platforms_used_5_TEXT,news_media_trust,petitions_num_1,gift_card_ranking_uber,gift_card_ranking_lyft,gift_card_ranking_GH,gift_card_ranking_DD,gift_card_ranking_S,gift_card_ranking_BK,confirm_top_choice,gift_card_weight_1,gift_card_weight_2,gift_card_weight_3,gift_card_weight_4,gift_card_weight_5,gift_card_weight_6,gift_card_use_uber,gift_card_use_lyft,gift_card_use_GH,gift_card_use_DD,gift_card_use_S,gift_card_use_BK,misinfo_intro,control_info,T1_info,T2_info,T3_info,T4_info_S,T4_info_uber_GH,T4_info_BK_DD_lyft_1,T4_info_BK_DD_lyft_2,outcome_1,outcome_1_why,outcome_2,outcome_2_why,attn_check_1,petition_c_P_B,petition_c_P_A,petition_c_C_B,petition_c_C_A,petition_T1_P_B,petition_T1_P_A,petition_T1_C_B,petition_T1_C_A,petition_T2_P_B,petition_T2_P_A,petition_T2_C_B,petition_T2_C_A,petition_T3_P_B,petition_T3_P_A,petition_T3_C_B,petition_T3_C_A,petition_T4_P_B,petition_T4_P_A,petition_T4_C_B,petition_T4_C_A,ratings_trust,ratings_bias,factual_errors,quality,employment,education,household_income,race,vote,survey_purpose,survey_trust,survey_bias,group,petition_link_clicked,passes_attn_check_1,top_choice_consistent,outcome_1_text,confirm_top_choice_text,top_ranked_choice,second_ranked_choice,switch_in_preference,weight_of_top_choice,weight_of_outcome,outcome_top_choice_weight_diff,outcome_1_misinfo_rank,top_choice_misinfo_rank,outcome_2_text,petition_none,petition_company_block,petition_company_allow,petition_platform_block,petition_platform_allow,petition_clicks_company_block,petition_clicks_company_allow,petition_clicks_platform_block,petition_clicks_platform_allow,petition_self_reported_company_block,petition_self_reported_company_allow,petition_self_reported_platform_block,petition_self_reported_platform_allow,control_group,T1_group,T2_group,T3_group,T4_group,gender_text,gender_male,gender_female,gender_third,age_text,race_text,residence_text,consumes_misinfo,news_media_trust_text,news_media_trust_low,news_media_trust_high,petition_signer,freq_of_use_top_choice,freq_use_of_top_choice_text,frequently_used_top_choice,freq_use_of_outcome,freq_use_of_outcome_text,frequently_used_outcome,vote_text,vote_trump,vote_biden,vote_other,vote_none,household_income_text,income_50K_below,income_50K_plus,income_25K_below,income_25K_to_50K,income_50K_to_100K,income_100K_above,income_no_answer,educ_text,educ_no_degree,educ_associates_plus,educ_college_plus,educ_high_school,educ_some_college,educ_bachelors,educ_post_graduate,employment_text,working_paid,working_self,working_any,not_working,working_no_answer,num_platforms_used,petition,petition_clicks,petition_block,frequent_user,weight_diff_category,weight_diff_negative,switched_categories,switch_misinfo_mag,outcome_1_topic,outcome_2_topic,weights_difference
R_3FJULEzqqhsZCET,EN,4,2,2,3,1,"9,11,27,17,18,26,36",3,"(1, 2, 3)",,1,3,2,6,1,5,3,4,2,5,5,40,30,10,10,1,2,2,1,3,2,4,,,9,,,,,,2,It will help transportation wise,3,I feel it’s the best,"1,5",,,,,,,,,1,,,,,,,,,,,,,1,2,3,1,5,1,1,2,Social work ,7,7,T2,0,1,0,Lyft,Lyft,Grubhub,Uber,0,5,5,0,5,5,platform_block,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Female,0,1,0,age_25_34,Black,S,1,Very high trust,0,1,1,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,Biden,0,1,0,0,25K_below,1,0,1,0,0,0,0,bachelors,0,1,1,0,0,1,0,paid_employee,1,0,1,0,0,3,None,No clicks,0,1,same weight,0,0,0,Product features,Best option,10
R_1jMWAyzHxYiHuR6,EN,4,3,2,3,1,"33,4,26",3,"(1, 2, 3, 4)",,3,1,5,6,4,1,3,2,4,5,5,10,40,20,20,5,5,3,1,2,1,4,9,,,,,,,,4,A variety of restaurants to choose from,3,Because misinformation websites are likely scams ,"1,5",1,,,,,,,,,,,,,,,,,,,,1,3,3,3,4,3,1,1,2,Misinformation websites ,7,4,control,1,1,1,DoorDash,DoorDash,DoorDash,Burger King,0,40,40,0,6,6,platform_block,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Female,0,1,0,age_35_44,Black,S,1,Some trust,0,0,1,1,atleast_once_a_week,1,1,atleast_once_a_week,1,Biden,0,1,0,0,25K_below,1,0,1,0,0,0,0,some_college,1,0,0,0,1,0,0,not_working,0,0,0,1,0,4,petition_block,platform_block,1,1,same weight,0,0,0,Product features,Misinformation concerns,20
R_12KhjtDoZRVn3Eo,EN,4,3,2,3,1,"2,4,11,14,16,17,18,26",2,"(1, 2, 3, 4, 5)",Tiktok,3,1,2,1,4,3,6,5,2,25,25,5,25,5,15,2,1,2,1,4,2,4,,,,,,,9,,2,I can use this to go to work,3,I’d hate to see established companies perish due to propaganda ,"1,5",,,,,,,,,,,,,,,,,1,,,,3,2,1,4,1,4,3,1,2,Testing attention and advertising companies on propaganda websites ,6,4,T4,0,1,1,Lyft,Lyft,Lyft,Uber,0,25,25,0,5,5,platform_block,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Female,0,1,0,age_35_44,Black,S,0,Some trust,0,0,1,1,atleast_once_a_week,1,1,atleast_once_a_week,1,Biden,0,1,0,0,25K_to_50K,1,0,0,1,0,0,0,some_college,0,1,0,0,1,0,0,paid_employee,1,0,1,0,0,5,None,No clicks,0,1,same weight,0,0,0,Use,Company responsibility,0
R_2c7cUHqNoppI0l1,EN,4,4,2,1,1,36,2,"(1, 2, 3)",,3,1,5,4,3,2,1,6,5,0,0,0,30,70,0,5,5,5,4,2,5,4,,,,,9,,,,5,"More nutritious than Burger King, I rarely use DoorDash, nenver use Grubhub, and I do not use the ride services listed.",1,Subway must take charge to make sure that they are not part of the fake news.,"1,5",,,,,,,,,,,,,,,,,,,1,,3,4,1,5,5,5,3,3,1,To show that companies' ads can show up on misinformation websites.,5,5,T4,0,1,1,Subway,Subway,Subway,DoorDash,0,70,70,0,4,4,company_block,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Female,0,1,0,age_45_54,White,NE,1,Some trust,0,0,1,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,Trump,1,0,0,0,25K_to_50K,1,0,0,1,0,0,0,bachelors,0,1,1,0,0,1,0,not_working,0,0,0,1,0,3,None,No clicks,0,1,same weight,0,0,0,Frequency of use,Company responsibility,40
R_1FLeC52n7IIbiLD,EN,4,6,1,2,1,9,3,1,,4,0,3,4,6,5,1,2,5,50,50,0,0,0,0,5,5,5,5,4,5,4,,,,9,,,,,5,good sandwiches,5,I don't sign petitions,"1,5",,,,,,,,,,,,,,,,,,,,,3,4,3,5,5,6,6,3,1,opinion related research,7,4,T3,0,1,1,Subway,Subway,Subway,Burger King,0,0,0,0,4,4,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Male,1,0,0,age_65_plus,White,MW,1,Low trust,1,0,0,4,about_once_or_twice_a_year,0,4,about_once_or_twice_a_year,0,Trump,1,0,0,0,100K_above,0,1,0,0,0,1,0,post_graduate,0,1,1,0,0,0,1,not_working,0,0,0,1,0,1,None,No clicks,0,0,same weight,0,0,0,Product features,No interest,0
R_3I9KhLEjVdhR336,EN,4,4,2,4,1,21,3,"(1, 2)",,3,0,4,6,5,3,1,2,5,10,10,10,10,40,20,5,5,5,3,3,3,4,,,,,9,,,,5,subway is good to eat because of the calories that are in the food,5,i dont want to use any of these,"1,5",,,,,,,,,,,,,,,,,,,,,1,3,3,3,7,3,1,3,1,im not really sure,7,4,T4,0,1,1,Subway,Subway,Subway,Burger King,0,40,40,0,4,4,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Female,0,1,0,age_45_54,White,W,0,Some trust,0,0,0,3,once_every_few_months,0,3,once_every_few_months,0,Trump,1,0,0,0,25K_below,1,0,1,0,0,0,0,some_college,1,0,0,0,1,0,0,not_working,0,0,0,1,0,2,None,No clicks,0,0,same weight,0,0,0,Product features,No interest,20
R_1Q9GIHZnKMjgMQY,EN,4,3,2,1,1,"16,26",2,2,,3,0,3,1,6,5,4,2,2,0,25,50,25,0,0,5,2,2,2,5,2,4,9,,,,,,,,2,I like it ,5,No,"1,5",,,,,,,,,,,,,,,,,,,,,1,1,1,1,6,2,1,1,4,Apps,6,7,control,0,1,1,Lyft,Lyft,Lyft,Burger King,0,25,25,0,5,5,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Female,0,1,0,age_35_44,Black,NE,0,Some trust,0,0,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,None,0,0,0,1,25K_below,1,0,1,0,0,0,0,max_high_school,1,0,0,1,0,0,0,not_working,0,0,0,1,0,1,None,No clicks,0,1,same weight,0,0,0,Like,No interest,25
R_2o5elwLZRU5cC53,EN,4,5,1,3,1,26,1,"(1, 2, 3)",,2,1,1,2,5,3,6,4,1,50,15,5,5,10,15,1,3,5,5,2,1,4,,,9,,,,,,1,It's the service I use the most ,1,Uber should have control as to where they place thier ads.,"1,5",,,,,,,,,,,1,,,,,,,,,,3,3,2,4,1,2,3,3,2,Misinformation and advertising ,6,4,T2,1,1,1,Uber,Uber,Uber,Lyft,0,50,50,0,6,6,company_block,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Male,1,0,0,age_55_64,White,S,0,High trust,0,1,1,1,atleast_once_a_week,1,1,atleast_once_a_week,1,Biden,0,1,0,0,25K_to_50K,1,0,0,1,0,0,0,max_high_school,1,0,0,1,0,0,0,paid_employee,1,0,1,0,0,3,petition_block,company_block,1,1,same weight,0,0,0,Frequency of use,Company responsibility,35
R_1hAc3O5PwdNbUsk,EN,4,5,2,1,1,21,3,"(1, 2)",,3,0,3,5,6,2,1,4,5,5,5,5,5,70,10,5,5,5,5,2,4,4,,,,9,,,,,5,Closest to my home and I happen to like subway out of all of them it is my go-to restaurant,5,Because I don't sign petitions,"1,5",,,,,,,,,,,,,,,,,,,,,3,3,5,5,6,2,1,3,4,I don't even know,4,4,T3,0,1,1,Subway,Subway,Subway,DoorDash,0,70,70,0,4,4,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Female,0,1,0,age_55_64,White,NE,0,Some trust,0,0,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,None,0,0,0,1,25K_below,1,0,1,0,0,0,0,max_high_school,1,0,0,1,0,0,0,not_working,0,0,0,1,0,2,None,No clicks,0,1,same weight,0,0,0,Product features,No interest,60
R_1lmKfoLaHz3pI8K,EN,4,6,2,3,1,"11,14,16,17,18",3,1,,3,0,3,6,5,4,2,1,6,5,5,10,5,25,50,5,5,5,5,4,4,4,9,,,,,,,,6,"I like Burger King's food, and I don't use the food delivery services.",5,"I have always been associated with a type of work that would not allow us to sign petitions, so I got used to not signing them.","1,5",,,,,,,,,,,,,,,,,,,,,3,2,1,5,5,4,4,3,2,To evaluate our perception of ad platforms as to their propensity for misinformation.,6,4,control,0,1,1,Burger King,Burger King,Burger King,Subway,0,50,50,0,3,3,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Female,0,1,0,age_65_plus,White,S,0,Some trust,0,0,0,4,about_once_or_twice_a_year,0,4,about_once_or_twice_a_year,0,Biden,0,1,0,0,50K_to_100K,0,1,0,0,1,0,0,some_college,0,1,0,0,1,0,0,not_working,0,0,0,1,0,1,None,No clicks,0,0,same weight,0,0,0,Like,No interest,25
