ResponseId,UserLanguage,consent,employment_status,role_type,role_type_11_TEXT,misinfo_intro,misinfo_attitudes_general,misinfo_attitudes_companies,misinfo_attitudes_platforms,attitudes_recommend,stated_ad_check,stated_consumer_reaction,consumer_info_demand,info_session_self_reported_demand,info_session_link_clicked,gives_ad_check_company,gives_ad_check_email,prior_companies_1,prior_own_company,prior_own_company_c,prior_belief_platforms,info_treatment_response,posterior_belief,platform_choice,donation,headquarter,num_employees,duration_of_role,industry,industry_11_TEXT,uses_digital_ads,gender,trust,bias,purpose,feedback,info_group,consumer_info_demand_yes,requests_full_ad_check,platform_choice_misinfo,donation_GDI,requested_survey_info,US_HQ,treated,female,male,full_time_employee,big_business,long_role,not_biased,verified_title_category,final_role_type,DM,verified_title,DM_category,self_reported_DM,verified_DM,final_exec,final_marketing,final_manager,final_other,appears_on_misinfo_vF,appears_in_MP_data_vF,correct_company_beliefs,follow_up_type,follow_up_ad_check_surprise,surprised_by_ad_check
R_TwtImxSVd1qRcIh,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not like to receive this information.,I would not like to sign up for this consultation.,0,0,0,100,Yes,Unsure,100,,100,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,United States of America,"More than 10,000",Between 1 year to less than 5 years,Technology,,Yes,Male,Neither agree nor disagree,Not biased,,,Control,0,0,1,1,0,1,0,0,1,1,1,0,1,,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",0,0,non_DM,0,0,0,0,0,1,0,0,0,,,None
R_3PRIChFajTvXyKA,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,I would like to find out how many people switched away from getting the company's products or services.,I have signed up for this consultation.,0,1,1,85,No,Unsure,85,I have carefully read the above information.,90,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,United States of America,11 to 100,Between 5 years to less than 10 years,Technology,,Yes,Male,Agree,Slightly left-wing biased,To obtain information on how big of a problem advertising on misinformation websites is from my perspective,,Treatment,1,1,0,1,1,1,1,0,1,0,0,1,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)"," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,1,verified_DM,1,1,1,0,0,0,0,0,1,,,None
R_2dQPRTL3YmpF5OJ,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,I would not like to receive this information.,I would not like to sign up for this consultation.,0,1,1,97,No,Somewhat sure,97,,65,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,United States of America,0 to 10,Between 1 year to less than 5 years,Other (please specify),Services,Yes,Male,Agree,Slightly left-wing biased,Educate on the misinformation out there for business and potentially a way to combat it.,,Control,0,1,0,1,1,1,0,0,1,0,0,0,0,,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",1,0,self_reported_DM,1,0,0,0,1,0,1,1,0,,,None
R_1LNn1eL3N1gVIrp,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,I would not like to sign up for this consultation.,0,1,1,78,No,Somewhat sure,100,I have carefully read the above information.,345,I would not like to receive this information.,DataKind,New Zealand,0 to 10,Between 1 year to less than 5 years,Health,,Yes,Female,Strongly agree,Not biased,create a tool for safer advertising ,,Treatment,1,1,0,0,1,0,1,1,0,1,0,0,1," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)"," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,1,verified_DM,1,1,1,0,0,0,0,0,1,exec_follow_up_no_info,Unsurprising,0
R_11XzapZQcNaDhm9,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,I would like to find out how many people switched away from getting the company's products or services.,I would not like to sign up for this consultation.,0,0,0,80,No,Unsure,80,,85,I would not like to receive this information.,The Global Disinformation Index,United States of America,101 to 1000,Between 1 year to less than 5 years,Technology,,Yes,Male,Neither agree nor disagree,Slightly left-wing biased,To understand peoples beliefs and preferences on where to advertise ,,Control,1,0,0,1,0,1,0,0,1,1,1,0,0,,"Manager of advertising, marketing, promotions, public relations or sales ",1,0,self_reported_DM,1,0,0,1,1,0,0,0,1,,,None
R_0vtgyDuj5it6ktb,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,I would like to find out how many people switched away from getting the company's products or services.,I would not like to sign up for this consultation.,0,0,0,92,Yes,Very sure,92,I have carefully read the above information.,80,I would not like to receive this information.,DataKind,United States of America,0 to 10,Between 1 year to less than 5 years,Education,,No,Male,Somewhat agree,Not biased,whether changing the benefits listed in the email would encourage people to sign up to take the survey,,Treatment,1,0,0,0,0,1,1,0,1,0,0,0,1,," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,0,self_reported_DM,1,0,1,0,0,0,0,0,0,,,None
R_PIJX2c9zrtl3phD,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,I would like to find out how many people switched away from getting the company's products or services.,I have signed up for this consultation.,0,1,1,50,No,Very sure,60,,40,I would like to know which types of analytics technologies are used to improve ad performance.,DataKind,United States of America,"More than 10,000",Between 10 years to less than 20 years,Finance,,Yes,Male,Strongly agree,Not biased,Missinformation,Thank you for the opportunity ,Control,1,1,0,0,1,1,0,0,1,1,1,1,1," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)"," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,1,verified_DM,1,1,1,0,0,0,1,1,0,,,None
R_1dLVfHdqf7A248r,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,I have signed up for this consultation.,1,1,1,95,No,Somewhat sure,95,I have carefully read the above information.,95,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,Germany,0 to 10,Between 1 year to less than 5 years,Holding Companies,,No,Male,Agree,Slightly left-wing biased,role of digital technologies in impacting your organization & lead generation,,Treatment,1,1,1,1,1,0,1,0,1,0,0,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)"," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,1,verified_DM,1,1,1,0,0,0,0,0,1,exec_follow_up_no_info,Very unsurprising,0
R_3iIucgnGRIeV0BH,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",,I have carefully read the above information.,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,I would not like to receive this information.,I would not like to sign up for this consultation.,0,1,1,85,Yes,Unsure,85,I have carefully read the above information.,330,I would like to know which platforms least frequently place companies' ads on misinformation websites.,DataKind,Austria,"1001 to 10,000",Less than 1 year,Health,,I don't know,Male,Strongly agree,Not biased,awareness of the impact of digital technology ,,Treatment,0,1,1,0,1,0,1,0,1,1,1,0,1,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)","Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",1,1,verified_DM,0,1,0,0,1,0,0,0,0,,,None
R_22ta3Dn6REM2630,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I would like to find out how many people switched away from getting the company's products or services.,I would not like to sign up for this consultation.,0,0,0,95,No,Unsure,50,I have carefully read the above information.,150,I would not like to receive this information.,DataKind,United States of America,"More than 10,000",Between 10 years to less than 20 years,Education,,I don't know,Prefer not to say,Neither agree nor disagree,Not biased,,,Treatment,1,0,0,0,0,1,1,0,0,1,1,1,1,," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,0,self_reported_DM,1,0,1,0,0,0,0,0,1,,,None
