ResponseId,UserLanguage,consent,employment_status,role_type,role_type_11_TEXT,misinfo_intro,misinfo_attitudes_general,misinfo_attitudes_companies,misinfo_attitudes_platforms,attitudes_recommend,stated_ad_check,stated_consumer_reaction,consumer_info_demand,consumer_info_demand_yes,info_session_self_reported_demand,info_session_link_clicked,requests_full_ad_check,,prior_companies_1,prior_own_company,prior_own_comapny_c,prior_platforms_1,info_treatment,posterior_belief_1,platform_choice,donation,headquarter,num_employees,duration_of_role,industry,industry_11_TEXT,uses_digital_ads,gender,trust,bias,purpose,feedback,info_group,stated_preferences_8,stated_preferences_9,initial_beliefs_1_1,initial_beliefs_3_1,posterior_belief_old_1,stated_consumer,US_HQ,treated,prior_belief_platforms,posterior_belief,belief_own_company_yes,belief_own_company_no,prior_own_company_c,own_company_certainty,own_company_confidence_belief,female,male,digital_ad_use_yes,full_time_employee,part_time_employee,exec,marketing_role,big_business,no_info_demand,info_demand_yes,long_role,not_biased,appeared_on_misinfo,appears_in MP_data,final_role_type,platform_choice_misinfo,final_marketing
R_TwtImxSVd1qRcIh,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,100,Yes,Unsure,100,,100,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,United States of America,"More than 10,000",Between 1 year to less than 5 years,Technology,,Yes,Male,Neither agree nor disagree,Not biased,,,Control,,,0,0,0,,1,0,100,100,1,0,Unsure,Uncertain,Uncertain - Yes,0,1,1,1,0,0,0,1,1,0,0,1,0,0,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",1,0
R_3PRIChFajTvXyKA,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I have signed up for this consultation.,0,1,,85,No,Unsure,85,I have carefully read the above information.,90,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,United States of America,11 to 100,Between 5 years to less than 10 years,Technology,,Yes,Male,Agree,Slightly left-wing biased,To obtain information on how big of a problem advertising on misinformation websites is from my perspective,,Treatment,,,0,0,0,,1,1,85,90,0,1,Unsure,Uncertain,Uncertain - No,0,1,1,0,0,1,0,0,0,1,1,0,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_2dQPRTL3YmpF5OJ,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,97,No,Somewhat sure,97,,65,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,United States of America,0 to 10,Between 1 year to less than 5 years,Other (please specify),Services,Yes,Male,Agree,Slightly left-wing biased,Educate on the misinformation out there for business and potentially a way to combat it.,,Control,,,0,0,0,,1,0,97,65,0,1,Somewhat sure,Certain,Certain - No,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",0,0
R_1LNn1eL3N1gVIrp,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,78,No,Somewhat sure,100,I have carefully read the above information.,345,I would not like to receive this information.,DataKind,New Zealand,0 to 10,Between 1 year to less than 5 years,Health,,Yes,Female,Strongly agree,Not biased,create a tool for safer advertising ,,Treatment,,,0,0,0,,0,1,100,345,0,1,Somewhat sure,Certain,Certain - No,1,0,1,1,0,1,0,0,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_1OTxHuL2M2vqGmt,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,200,No,Somewhat sure,80,,200,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,Mexico,"1001 to 10,000",Between 1 year to less than 5 years,"Food Products, Beverages or Dining",,Yes,Male,Agree,Not biased,Identify frauds and brand negative impacts,,Control,,,0,0,0,,0,0,80,200,0,1,Somewhat sure,Certain,Certain - No,0,1,1,1,0,1,0,1,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_1dsGbcuxoGAkBFr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Computer and mathematical occupation  (all mathematics, data and IT-related occupations, e.g. statisticians, web developers, computer programmers, database and network administrators, actuaries, computer scientists, etc.)",,I have carefully read the above information.,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,1000,No,Very unsure,5,,50,I would like to know which platforms least frequently place companies' ads on misinformation websites.,DataKind,United States of America,"More than 10,000",Less than 1 year,Media & Entertainment,,I don't know,Prefer not to say,Somewhat agree,Slightly left-wing biased,"See how important misinformation is, how it's financed, what advertisers finance, what can be done about it from an advertising perspective",,Control,,,0,0,0,,1,0,5,50,0,1,Very unsure,Uncertain,Uncertain - No,0,0,0,1,0,0,0,1,0,1,0,0,1,1,"Computer and mathematical occupation  (all mathematics, data and IT-related occupations, e.g. statisticians, web developers, computer programmers, database and network administrators, actuaries, computer scientists, etc.)",1,0
R_11XzapZQcNaDhm9,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,0,,80,No,Unsure,80,,85,I would not like to receive this information.,The Global Disinformation Index,United States of America,101 to 1000,Between 1 year to less than 5 years,Technology,,Yes,Male,Neither agree nor disagree,Slightly left-wing biased,To understand peoples beliefs and preferences on where to advertise ,,Control,,,0,0,0,,1,0,80,85,0,1,Unsure,Uncertain,Uncertain - No,0,1,1,1,0,0,1,1,0,1,0,0,0,0,"Manager of advertising, marketing, promotions, public relations or sales ",0,1
R_1ondia3o0p9I8lL,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",,I have carefully read the above information.,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,500,No,Very sure,35,,75,I would not like to receive this information.,The Global Disinformation Index,Mexico,101 to 1000,Between 10 years to less than 20 years,Health,,Yes,Male,Strongly agree,Not biased,Understand the knowledge companies have in the use of misinformation,,Control,,,0,0,0,,0,0,35,75,0,1,Very sure,Certain,Certain - No,0,1,1,1,0,0,0,1,1,0,1,1,0,0,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",0,0
R_0Bv4PlKU2W7J3hf,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,15000,No,Very sure,90,I have carefully read the above information.,80,I would not like to receive this information.,DataKind,Spain,0 to 10,Between 1 year to less than 5 years,Health,,No,Male,Agree,Slightly right-wing biased,,,Treatment,,,0,0,0,,0,1,90,80,0,1,Very sure,Certain,Certain - No,0,1,0,0,0,1,0,0,1,0,0,0,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_0vtgyDuj5it6ktb,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,0,,92,Yes,Very sure,92,I have carefully read the above information.,80,I would not like to receive this information.,DataKind,United States of America,0 to 10,Between 1 year to less than 5 years,Education,,No,Male,Somewhat agree,Not biased,whether changing the benefits listed in the email would encourage people to sign up to take the survey,,Treatment,,,0,0,0,,1,1,92,80,1,0,Very sure,Certain,Certain - Yes,0,1,0,0,0,1,0,0,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
