industry,num_total_companies,num_misinfo_companies,num_prop_companies,misinfo_num_appearances,prop_total_misinfo_appearances,non_misinfo_num_appearances,prop_total_non_misinfo_appearances,misinfo_factor
Industrial,326,195,0.598159509,2345,0.461803,29067,0.333841,1.383304
Apparel & Accessories,919,636,0.692056583,31306,6.165123,430776,4.947557,1.246094
Online Services,995,680,0.683417085,37035,7.293341,545805,6.26869,1.163455
"Govt.,  Politics & Religion",1093,688,0.629460201,22355,4.402393,340549,3.91128,1.125563
Education,1306,928,0.710566616,19785,3.89628,307558,3.532371,1.103021
Babies & Kids,84,52,0.619047619,2589,0.509854,40276,0.462579,1.1022
Technology,1631,1289,0.790312692,60291,11.873169,943453,10.835764,1.095739
Business Solutions,1424,999,0.701544944,38104,7.50386,615006,7.063479,1.062346
Print Publishing,332,166,0.5,4363,0.85921,70987,0.815301,1.053856
Digital Publishing,406,186,0.458128079,5921,1.166029,97027,1.114376,1.046351
Natural Gas & Electric,221,161,0.728506787,5258,1.035463,88122,1.0121,1.023084
Household,1205,817,0.678008299,26410,5.200948,445357,5.115023,1.016799
Media & Entertainment,3016,1692,0.561007958,35796,7.049343,610487,7.011577,1.005386
Travel,1452,1100,0.757575758,29284,5.766928,506715,5.819733,0.990927
Retail,1124,744,0.661921708,28577,5.627698,501393,5.758608,0.977267
Finance,1658,1057,0.637515078,44772,8.816996,812042,9.32648,0.945372
Insurance,346,258,0.74566474,19982,3.935076,364164,4.182503,0.940842
Telecommunications,217,168,0.774193548,13132,2.586098,251127,2.884249,0.896628
Health,1724,1114,0.646171694,27412,5.398273,550537,6.323038,0.853747
Food & Beverages,730,508,0.695890411,9269,1.825354,192681,2.212984,0.824838
Dining,229,149,0.650655022,3753,0.739082,78346,0.899821,0.821366
Holding Companies,294,241,0.819727891,19649,3.869498,430461,4.943939,0.782675
Automotive,656,417,0.635670732,19578,3.855516,440332,5.05731,0.762365
